Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,School Number,School or Citywide Complaint,pctFemale,pctMale,pctPacIslander,pctLatino,pctAmericanIndian,pctAsian,pctWhite,pctBlack,pctOther,pctEthnicTotal,pctPermResidentAlien,pctUSCitizen,pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11226,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11236,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11236,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10305,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10304,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10314,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10303,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10303,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10310,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Homeless Encampment,N/A,Residential Building/House,10303,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10463,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10454,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Detached Trailer,Street/Sidewalk,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11204,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11223,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11204,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11223,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11228,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11223,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11214,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,Q2_pctAsian,Q2_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11223,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10029,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Bike/Roller/Skate Chronic,N/A,Street/Sidewalk,10003,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10012,NEW YORK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10012,NEW YORK,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10003,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Street Condition,Plate Condition - Noisy,Street,11234,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Condition,Plate Condition - Open,Street,11223,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Condition,Plate Condition - Shifted,Street,10036,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11228,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11209,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11228,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11209,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11209,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11209,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11204,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11232,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11204,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,10029,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Health and Mental Hygiene,Animal Facility - No Permit,N/A,Kennel/Animal Shelter,10308,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Health and Mental Hygiene,Animal Facility - No Permit,N/A,Kennel/Animal Shelter,10312,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Ferry Inquiry,Lost and Found,Ferry,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Ferry Inquiry,Lost and Found,Ferry,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Missing,,10310,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Missing,,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Cycling,,11207,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Fixture/Luminaire Hanging,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Foreign Attachment On Lamppost,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Glassware Missing,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Glassware Missing,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Glassware Missing,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Fixture/Luminaire Damaged,,11358,Flushing,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Fixture/Luminaire Door Open,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Fixture/Luminaire Door Open,,10308,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Fixture/Luminaire Hanging,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Fixture/Luminaire Damaged,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Damaged,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Damaged,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Fixture/Luminaire Hanging,,11428,Queens Village,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Fixture/Luminaire Hanging,,11378,Maspeth,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Glassware Missing,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Glassware Missing,,11361,Bayside,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Damaged,,11367,Flushing,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Knocked Down,,11422,Rosedale,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Lamppost Wire Exposed,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Dayburning,,11362,Little Neck,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Dayburning,,11101,Long Island City,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Street Light Condition,Street Light Lamp Missing,,11362,Little Neck,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Lamp Missing,,11356,College Point,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11432,Jamaica,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Street Light Condition,Street Light Out,,10464,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Out,,11385,Ridgewood,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,10472,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,10002,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q3_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Out,,11414,Howard Beach,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,10306,STATEN ISLAND,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Street Light Condition,Street Light Out,,11225,BROOKLYN,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Out,,10474,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11432,Jamaica,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Transportation,Street Light Condition,Street Light Out,,11236,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
Department of Transportation,Street Light Condition,Street Light Out,,11379,Middle Village,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11375,Forest Hills,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,11693,Far Rockaway,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,10305,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
